t_real	tv	d_tv	e_p_x	e_p_y	e_p_z	e_o_x	e_o_y	e_o_z	e_v_lin_x	e_v_lin_y	e_v_lin_z	e_v_ang_x	e_v_ang_y	e_v_ang_z
0.106	0.106	1	0.0200753	-0.000400367	0.00524276	-0.0493137	-0.000921969	0.000264069	0.196874	0	0.0979863	-0.348553	0.00201807	-0.000266383
0.108	0.108	1	0.0202756	-0.000424102	0.00542484	-0.0501707	-0.00102479	0.000284926	0.100149	-0.0118674	0.0910435	-0.299945	-0.0358385	0.00802803
0.11	0.11	1	0.0204529	-0.000450284	0.00560757	-0.0510116	-0.00113724	0.000307431	0.0886246	-0.0130908	0.0913629	-0.294329	-0.0391933	0.0086901
0.112	0.112	1	0.0206168	-0.000477765	0.00579153	-0.0518487	-0.00125398	0.000330754	0.0819636	-0.0137406	0.0919793	-0.292978	-0.0406841	0.00901452
0.114	0.114	1	0.0210034	-0.000477765	0.00600123	-0.0528431	-0.00124811	0.000330424	0.193305	0	0.104851	-0.348033	0.00198859	-0.000386113
0.116	0.116	1	0.0211649	-0.000505003	0.00619112	-0.0536844	-0.00136438	0.000353069	0.080726	-0.0136188	0.0949451	-0.294452	-0.0405231	0.00879323
0.118	0.118	1	0.0215477	-0.000505003	0.00640759	-0.054678	-0.00135853	0.000352678	0.191431	0	0.108236	-0.347758	0.00197792	-0.000427736
0.12	0.12	1	0.0216551	-0.000538249	0.00659789	-0.055489	-0.00150327	0.000379489	0.0536982	-0.0166232	0.0951507	-0.283844	-0.0504371	0.0105462
0.122	0.122	1	0.0220341	-0.000538249	0.00682107	-0.0564818	-0.00149744	0.000379024	0.189497	0	0.111587	-0.347475	0.00196545	-0.000479053
0.124	0.124	1	0.0221516	-0.000569681	0.00701864	-0.0573056	-0.00163551	0.000403279	0.0587127	-0.0157161	0.0987855	-0.288359	-0.0481248	0.00960953
0.126	0.126	1	0.0222555	-0.000602385	0.00721748	-0.0581256	-0.0017809	0.000427446	0.0519591	-0.016352	0.099418	-0.286996	-0.0506833	0.00965208
0.128	0.128	1	0.0223761	-0.000632717	0.00742117	-0.0589604	-0.00191659	0.000448836	0.0603304	-0.0151661	0.101846	-0.292178	-0.0473173	0.00857876
0.13	0.13	1	0.0227168	-0.000636352	0.00765397	-0.0599329	-0.00192784	0.000450733	0.170309	-0.00181736	0.116402	-0.340367	-0.00399758	0.000452031
0.132	0.132	1	0.0228071	-0.00066969	0.00786044	-0.0607519	-0.0020787	0.000473141	0.0451782	-0.016669	0.103233	-0.286652	-0.0526103	0.00911801
0.134	0.134	1	0.0231738	-0.00066969	0.00810329	-0.0617421	-0.00207293	0.000472377	0.183347	0	0.121428	-0.346567	0.00192064	-0.000686803
0.136	0.136	1	0.0232324	-0.000706234	0.00831162	-0.0625429	-0.00223715	0.000495831	0.0292751	-0.0182721	0.104164	-0.280256	-0.0572653	0.00965932
0.138	0.138	1	0.0232762	-0.000744235	0.00852017	-0.063339	-0.00240737	0.000518988	0.0219224	-0.0190005	0.104276	-0.278651	-0.0593639	0.0096217
0.14	0.14	1	0.0233053	-0.000783695	0.00872898	-0.0641308	-0.00258455	0.000541816	0.0145513	-0.0197298	0.104403	-0.277119	-0.0618024	0.00958442
0.142	0.142	1	0.0236632	-0.000783695	0.00898459	-0.0651191	-0.00257883	0.000540794	0.178961	0	0.127803	-0.345914	0.00188656	-0.000866387
0.144	0.144	1	0.0236937	-0.000822418	0.00919937	-0.0659168	-0.00275311	0.000561952	0.0152206	-0.0193614	0.107393	-0.279179	-0.0608037	0.00899648
0.146	0.146	1	0.0236915	-0.000864698	0.00941216	-0.0666997	-0.00294465	0.000583984	-0.0010908	-0.0211404	0.106395	-0.274017	-0.0668266	0.00950535
0.148	0.148	1	0.0240425	-0.000864698	0.00967712	-0.0676866	-0.00293896	0.000582779	0.175527	0	0.13248	-0.3454	0.00186397	-0.000994006
0.15	0.15	1	0.0240033	-0.000910757	0.00989062	-0.0684537	-0.00314909	0.000605527	-0.0196028	-0.0230295	0.106747	-0.268472	-0.0733108	0.010014
0.152	0.152	1	0.0239477	-0.000958401	0.0101043	-0.0692161	-0.00336776	0.000627848	-0.0278113	-0.0238218	0.106829	-0.266844	-0.0763044	0.00996853
0.154	0.154	1	0.0242917	-0.000958401	0.0103784	-0.0702015	-0.0033621	0.000626429	0.17197	0	0.137066	-0.344865	0.00183969	-0.00114271
0.156	0.156	1	0.0242383	-0.0010051	0.0105982	-0.0709662	-0.00357747	0.000646828	-0.0267017	-0.0233507	0.10989	-0.267653	-0.0751664	0.00929304
0.158	0.158	1	0.0241696	-0.00105324	0.0108174	-0.0717197	-0.0037992	0.000664556	-0.03431	-0.0240684	0.109597	-0.263726	-0.0774208	0.00844382
0.16	0.16	1	0.0241082	-0.00110022	0.0110394	-0.0724802	-0.0040149	0.000678294	-0.0307276	-0.0234929	0.110986	-0.266155	-0.075362	0.00696898
0.162	0.162	1	0.0244198	-0.00110287	0.0113219	-0.0734509	-0.00402176	0.000677322	0.155816	-0.00132489	0.141284	-0.33973	-0.00254127	-0.000933948
0.164	0.164	1	0.0242018	-0.00116771	0.0115241	-0.0741283	-0.00432111	0.000691599	-0.108993	-0.0324197	0.10111	-0.237071	-0.104593	0.00831206
0.166	0.166	1	0.0241291	-0.00121509	0.0117512	-0.0748892	-0.00453828	0.000698303	-0.0363735	-0.0236859	0.113543	-0.266307	-0.0759624	0.00454957
0.168	0.168	1	0.0244315	-0.00121791	0.0120421	-0.0758576	-0.00454597	0.000696733	0.151232	-0.0014119	0.14544	-0.338936	-0.00284722	-0.00121661
